57
1428, 30.0000, 20.0000, 0.0000, 0.0000
1407, 28.0000, 20.0000, 2.3128, 2.3128
1379, 26.0000, 20.0000, 2.1459, 4.4587
1350, 24.0000, 18.0000, 3.3585, 7.8172
1298, 22.0000, 16.0000, 3.0271, 10.8443
1297, 22.0000, 14.0000, 2.2656, 13.1099
1296, 22.0000, 12.0000, 2.3094, 15.4193
1295, 22.0000, 10.0000, 2.3176, 17.7369
1294, 22.0000, 8.0000, 2.0930, 19.8299
1293, 22.0000, 6.0000, 2.0341, 21.8640
1292, 22.0000, 4.0000, 2.2440, 24.1080
1291, 22.0000, 2.0000, 2.0344, 26.1424
1290, 22.0000, 0.0000, 2.1279, 28.2703
1289, 22.0000, -2.0000, 2.1571, 30.4274
1263, 20.0000, -4.0000, 2.8419, 33.2693
1258, 18.0000, -6.0000, 3.0936, 36.3629
1253, 16.0000, -8.0000, 3.0218, 39.3847
1249, 14.0000, -8.0000, 2.3043, 41.6890
1245, 12.0000, -8.0000, 2.3294, 44.0184
1241, 10.0000, -8.0000, 2.1673, 46.1857
1211, 8.0000, -8.0000, 2.3502, 48.5359
1159, 6.0000, -10.0000, 3.3270, 51.8629
1107, 4.0000, -12.0000, 2.9805, 54.8434
1055, 2.0000, -14.0000, 3.0922, 57.9356
1003, 0.0000, -16.0000, 2.9030, 60.8386
1053, 2.0000, -18.0000, 3.2888, 64.1274
1103, 4.0000, -20.0000, 3.0896, 67.2170
1153, 6.0000, -22.0000, 2.9075, 70.1245
1203, 8.0000, -24.0000, 3.2809, 73.4054
1151, 6.0000, -26.0000, 2.9619, 76.3673
1099, 4.0000, -28.0000, 3.2414, 79.6087
1047, 2.0000, -30.0000, 2.9899, 82.5986
995, 0.0000, -32.0000, 3.3014, 85.9000
943, -2.0000, -34.0000, 2.8648, 88.7648
891, -4.0000, -36.0000, 3.0010, 91.7658
839, -6.0000, -38.0000, 2.9620, 94.7278
838, -6.0000, -40.0000, 2.0937, 96.8215
837, -6.0000, -42.0000, 2.3910, 99.2125
836, -6.0000, -44.0000, 2.0906, 101.3031
835, -6.0000, -46.0000, 2.2841, 103.5872
784, -8.0000, -46.0000, 2.1264, 105.7136
754, -10.0000, -46.0000, 2.0071, 107.7207
724, -12.0000, -46.0000, 2.1001, 109.8208
694, -14.0000, -46.0000, 2.3859, 112.2067
664, -16.0000, -46.0000, 2.1634, 114.3701
634, -18.0000, -46.0000, 2.3567, 116.7268
604, -20.0000, -46.0000, 2.3262, 119.0530
567, -22.0000, -46.0000, 2.0544, 121.1074
530, -24.0000, -46.0000, 2.2790, 123.3864
493, -26.0000, -46.0000, 2.1239, 125.5103
456, -28.0000, -46.0000, 2.3730, 127.8833
457, -28.0000, -44.0000, 2.3537, 130.2370
458, -28.0000, -42.0000, 2.1721, 132.4091
459, -28.0000, -40.0000, 2.0231, 134.4322
460, -28.0000, -38.0000, 2.2070, 136.6392
498, -26.0000, -36.0000, 2.9021, 139.5413
536, -24.0000, -34.0000, 3.1215, 142.6628
